name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Welding Support Drone,junk_pirates_welding_drone,,,,,60,20,600,,50,0,,200,250,250,180,360,5,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,0,,,321998
TNT Assault Drone,junk_pirates_tnt_drone,,,,,120,150,400,,50,0,,125,120,80,180,180,15,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,0,,,321997
Phase Interceptor Drone,junk_pirates_phase_drone,,,,,30,10,100,,50,0,,200,250,250,180,360,5,PHASE,phasecloak,,,,0.02,0.02,0,0,,,,,,,,,,,,,,,,0,,,321999
Ion Attack Drone,pack_drone_ion,,,,,200,50,200,,100,0,,190,130,130,130,130,20,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,0,,,691004
Insult Defense Drone,junk_pirates_insult_drone,,,flarelauncher_fighter,,400,125,1500,,75,0,,120,200,200,180,360,20,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,0,,,321996
FELIX Escort Drone,pack_felix_drone,,,flarelauncher_fighter,,400,125,1000,,75,0,,150,200,200,180,360,15,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,0,,,321995
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shard Heavy Fighter,junk_pirates_shard,,Junk Pirates,,,700,100,300,,70,0,,165,200,40,70,120,40,NONE,,0,0,0,,,3,3,,,,,,,,,,,,,,,,0,,,321611
Cleat Strike Bomber,junk_pirates_cleat,,Junk Pirates,,,450,65,400,,75,0,,175,180,40,80,80,20,FRONT,,90,0.4,1,,,2,2,,,,,,,,,,,,,,,,0,,,321605
Spike Heavy Fighter,junk_pirates_spike,,Junk Pirates,,,450,50,400,,100,0,,225,300,30,100,180,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,321604
Splinter Interceptor,junk_pirates_splinter,,Junk Pirates,,,600,75,300,,50,0,,175,200,145,145,100,150,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,321620
Coil Escort Fighter,syndicate_asp_constrictor,,ASP Syndicate,,,800,125,600,,100,0,,150,125,50,40,80,100,FRONT,,120,0.4,1,,,2,2,,,,,,,,,,,,,,,,0,,,991004
Fang Interceptor,syndicate_asp_venom,,ASP Syndicate,,,400,40,400,,50,0,,245,300,75,100,150,50,FRONT,,45,0.4,1,,,1,1,,,,,,,,,,,,,,,,0,,,991005
Hood Interceptor Drone,syndicate_asp_bite,,ASP Syndicate,,,350,40,200,,30,0,,325,400,140,100,200,30,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,991006
Rattle Support Fighter,syndicate_asp_death_rattle,,ASP Syndicate,,,500,100,800,,150,0,,175,150,75,60,100,100,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,
Oblonsky Interceptor,pack_oblonsky,,P.A.C.K.,,,200,40,200,,30,0,,300,400,140,100,200,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,
Ivan Gunship Fighter,pack_gunship,,P.A.C.K.,,,600,130,600,,100,0,,145,300,30,100,180,30,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,
Mitya Torpedo Bomber,pack_bomber,,P.A.C.K.,,,250,125,600,,75,0,,115,180,40,80,80,20,FRONT,,145,0.4,1,,,2,2,,,,,,,,,,,,,,,,0,,,
Alyosha Heavy Fighter,pack_pressure_gunship,,P.A.C.K.,flarelauncher_fighter,,550,170,600,,70,0,,135,200,40,70,120,40,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,
Levin Strike Fighter,pack_levin,,P.A.C.K.,,,800,180,1300,,140,0,,105,200,40,70,120,40,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb Weaver Heavy Fighter,junk_pirates_orbweaver,,,flarelauncher_fighter,,500,100,1200,,150,0,,180,150,75,60,100,100,FRONT,,360,0.2,0.4,,,0,0,,,,,,,,,,,,,,,,0,,,
Latrodectus Interceptor,junk_pirates_latrodectus,,,,,500,150,800,,150,0,,190,150,75,60,100,100,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sickle,junk_pirates_sickle,Frigate,Junk Pirates,junk_pirates_electrochafflauncher,5,1500,120,2250,2750,220,40,,190,100,80,120,120,200,OMNI,,90,0.2,0.8,,,15,25,30,20,1,40,10,10000,12,20,180,0.25,5,5,,"junk_pirates_junk_bp, revolutionary, junk_boys",,0.75,2,3,321601
Hammer,junk_pirates_hammer,Frigate,Junk Pirates,fastmissileracks,5,1600,140,2200,1125,160,45,,140,160,140,260,160,180,FRONT,,120,0.2,0.8,,,15,20,25,20,1,45,9,12000,10,15,240,0.25,5,5,,"junk_pirates_junk_bp, revolutionary, junk_boys",,0.4,2,2,321603
Clam,junk_pirates_clam,Frigate,Junk Pirates,junk_pirates_electrochafflauncher,5,1800,300,2750,3500,225,45,,90,100,60,80,120,220,FRONT,,240,0.2,0.85,,,10,20,50,30,1,40,9,18000,7,20,180,0.25,5,5,,junk_pirates_junkprime_bp,,0.4,2,2,321609
Clementine,junk_pirates_clementine,Frigate,Junk Pirates,junk_pirates_burst_jets,5,1500,200,2450,3500,220,45,,140,120,100,100,140,220,FRONT,,180,0.2,0.8,,,20,35,40,40,1,40,10,11000,10,20,180,0.25,5,5,,junk_pirates_junk_bp,,0.5,2,2,321609
Mandarine,junk_pirates_mandarine,Frigate,Junk Pirates,junk_pirates_electrochafflauncher,5,1900,250,2200,1125,140,45,,130,160,140,260,160,180,OMNI,,190,0.2,1,,,15,25,50,30,1,45,10,12500,10,20,240,0.25,5,5,,junk_pirates_junk_bp,,0.5,2,2,321603
