name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Cutlass,junk_pirates_cutlass,0,,1000,600,,75,25,0,22,9,,,,ENERGY,65,,0,0.5,3,0.1,,,,,,1000,,,,,"energy14, MR, junk_pirates_junk_bp",,,,General,,,,,,,,,,51
Scatter PD Laser,junk_pirates_scatterpd,1,,250,400,,40,,,60,5,,,,FRAGMENTATION,20,,0,0.2,6,0.1,4,18,3,15,,800,,,,PD,"pd6, SR, junk_pirates_junk_bp",,,,Point Defense,,,,,,,,,,52
Light Excimer,junk_pirates_lexcimer,2,,600,500,150,,,0,40,4,,,,ENERGY,,150,0.1,0.1,0.25,0.1,,,,,2400,,,,,,"beam7, energy7, junk_pirates_junk_bp",,,,Anti Small Craft,,,,,,,,,,53
Grape Cannon,junk_pirates_grapeshot,1,,5000,800,,400,,100,10,15,16,,,FRAGMENTATION,0,,0,5,2,0.25,0,0,0,0,,400,80,8,250,"DO_NOT_AIM, ANTI_FTR","utility14, missile14, rare_bp",,,,General,,,,,,,,,TRUE,54
Grape Launcher,junk_pirates_grapeshot_m,1,,1200,800,,400,,100,10,9,14,,,FRAGMENTATION,0,,0,5,2,0.3,0,0,0,0,,400,65,8,250,"DO_NOT_AIM, ANTI_FTR","utility12, missile12, junk_pirates_junkprime_bp",,,,General,,,,,,,,,TRUE,55
Grapeshot,junk_pirates_grapeshot_s,1,,200,800,,400,,100,10,5,5,,,FRAGMENTATION,0,,0,6,1,0,0,0,0,0,,400,55,8,250,"DO_NOT_AIM, ANTI_FTR","utility8, missile8, junk_pirates_junk_bp",,,,General,,,,,,,,,TRUE,56
PICA,junk_pirates_pica,0,,7500,700,,260,75,0,35,,,,,ENERGY,380,,0,3.5,4,0.15,,,,,,1000,,,,"SYSTEM, SHOW_IN_CODEX","no_drop, no_sell, show_in_codex",,,,General,,,,,,,,,,62
Scorpion,junk_pirates_scorpion,,,3000,800,,210,60,,,,8,0.5,,ENERGY,250,,0,0.2,1,0,0,0,0,0,,800,,,,"SYSTEM, SHOW_IN_CODEX","no_drop, no_sell, show_in_codex",,,,General,,,,,,,,,,57
Haymaker,junk_pirates_haymaker,1,,2000,600,,500,250,,,15,1,0.2,,ENERGY,650,,0,3,1,0,0,0,0,0,,1000,,,,"SYSTEM, SHOW_IN_CODEX","no_drop, no_sell, show_in_codex",,,,General,,,,,,,,,,58
Haymaker (Blue),junk_pirates_haymaker_blue,,,3000,650,,650,325,,,,1,0.15,,ENERGY,850,,0,3,1,0,0,0,0,0,,1000,,,,"SYSTEM, SHOW_IN_CODEX","no_drop, no_sell, show_in_codex",,,,General,,,,,,,,,,58
